,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2.39 ,0.74 ,-0.31 ,-0.30 ,-0.64 ,-1.50 ,-1.34 ,-1.06 ,1.16 ,-2.10 ,-0.43 ,-0.83 ,0.35 ,-0.98 ,-0.37 ,0.12 ,0.27 ,-1.87 ,-0.07 ,-0.48 ,0.33 ,0.00 
1,1.03 ,0.96 ,-0.19 ,0.38 ,-0.51 ,-0.85 ,-0.54 ,-0.49 ,-0.31 ,-1.04 ,-0.83 ,-0.30 ,-0.11 ,-1.01 ,1.16 ,-0.56 ,-0.04 ,0.29 ,-0.40 ,-0.14 ,-0.31 ,NA
2,0.60 ,0.99 ,-0.26 ,-0.82 ,-0.56 ,-1.34 ,3.01 ,-0.20 ,-1.23 ,0.10 ,-1.28 ,-0.18 ,-1.62 ,-1.09 ,-1.12 ,1.87 ,-0.21 ,0.46 ,-0.17 ,0.57 ,NA,NA
3,0.87 ,0.35 ,-0.03 ,0.25 ,-0.76 ,-0.04 ,-2.00 ,-0.40 ,-0.66 ,0.24 ,-0.46 ,-1.36 ,0.45 ,0.53 ,0.64 ,-0.41 ,0.25 ,1.21 ,0.61 ,NA,NA,NA
4,0.98 ,-0.75 ,0.19 ,-0.29 ,-0.27 ,0.03 ,-0.63 ,0.75 ,-1.07 ,-1.55 ,-0.03 ,1.56 ,0.60 ,-0.86 ,-0.03 ,1.17 ,-0.57 ,-0.28 ,NA,NA,NA,NA
5,0.60 ,0.27 ,0.07 ,-0.18 ,-0.28 ,1.20 ,-0.30 ,-0.45 ,-0.81 ,1.03 ,-0.24 ,-0.65 ,-1.36 ,0.75 ,-1.38 ,-1.55 ,0.33 ,NA,NA,NA,NA,NA
6,0.51 ,-1.18 ,-1.16 ,0.29 ,-0.36 ,0.11 ,-1.65 ,-0.72 ,0.01 ,1.84 ,2.31 ,0.32 ,1.33 ,-0.17 ,0.55 ,-0.61 ,NA,NA,NA,NA,NA,NA
7,-0.80 ,-1.30 ,-0.34 ,-0.58 ,-0.28 ,0.34 ,-0.55 ,-0.20 ,0.15 ,2.08 ,3.35 ,-0.42 ,0.18 ,2.73 ,0.52 ,NA,NA,NA,NA,NA,NA,NA
8,0.41 ,-0.28 ,-0.63 ,-0.44 ,0.46 ,0.11 ,0.53 ,-0.12 ,1.44 ,-1.50 ,-0.67 ,-0.20 ,0.58 ,-0.18 ,NA,NA,NA,NA,NA,NA,NA,NA
9,-1.34 ,-1.11 ,-0.61 ,0.06 ,0.78 ,0.81 ,2.16 ,1.95 ,1.50 ,0.35 ,-1.30 ,0.86 ,-0.38 ,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,-0.43 ,-0.77 ,-0.19 ,-0.38 ,-0.68 ,-0.06 ,1.54 ,0.78 ,1.39 ,0.28 ,-0.60 ,1.06 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-0.64 ,-0.26 ,0.22 ,0.10 ,0.32 ,1.57 ,-0.28 ,1.43 ,-1.16 ,0.03 ,-0.05 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-1.36 ,-0.37 ,0.91 ,-0.29 ,2.56 ,1.04 ,1.65 ,-0.55 ,-0.83 ,-0.17 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-0.74 ,1.00 ,0.83 ,0.73 ,0.60 ,-0.09 ,-1.80 ,-0.74 ,0.56 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-0.82 ,0.62 ,0.29 ,1.26 ,0.88 ,-0.40 ,-0.78 ,-0.20 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-0.50 ,0.42 ,0.32 ,0.88 ,-0.57 ,-0.96 ,0.85 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.11 ,0.10 ,0.07 ,0.73 ,-1.00 ,-0.32 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.21 ,-0.14 ,0.59 ,-1.16 ,0.17 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.17 ,0.09 ,-0.31 ,-0.28 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-0.35 ,0.16 ,0.59 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.56 ,0.81 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.00 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
